Band,Album,albumlink,n,mean,w.mean,diff,l95,CI,w.meanRank,meanRank,users5
Gang of Youths,Go Farther in Lightness,/album/259560/Gang-of-Youths-Go-Farther-in-Lightness/,285,4.013684211,3.987208786,-0.026,3.780722311,3.78 - 4.17,1,9,"SowingSeason (2.4%), Willie (2.1%), klap (2.0%), BigHans (1.9%), Green+Baron (1.8%)"
Brand New,Science Fiction,/album/259551/Brand-New-Science-Fiction/,1262,4.062361331,3.864654976,-0.198,3.765254758,3.77 - 3.96,2,5,"Trebor. (0.8%), SowingSeason (0.8%), Willie (0.7%), klap (0.7%), Hawks (0.6%)"
Chelsea Wolfe,Hiss Spun,/album/255016/Chelsea-Wolfe-Hiss-Spun/,372,4.022849462,3.938837404,-0.084,3.756485473,3.76 - 4.11,3,8,"Trebor. (2.2%), Willie (1.9%), Green+Baron (1.6%), BigHans (1.6%), linguist2011 (1.6%)"
The Menzingers,After the Party,/album/234710/The-Menzingers-After-the-Party/,604,4.030960265,3.891737348,-0.139,3.747852732,3.75 - 4.03,4,7,"Trebor. (1.5%), SowingSeason (1.5%), Atari (1.2%), Green+Baron (1.2%), BigHans (1.1%)"
Elder,Reflections of a Floating World,/album/249336/Elder-USA-MA-Reflections-of-a-Floating-World/,362,4.002209945,3.914606454,-0.088,3.72835245,3.73 - 4.09,5,11,"Trebor. (2.5%), Willie (2.1%), Atari (1.9%), Hawks (1.9%), insomniac15 (1.8%)"
The National,Sleep Well Beast,/album/252598/The-National-Sleep-Well-Beast/,570,4.006315789,3.864136708,-0.142,3.714743908,3.71 - 4,6,10,"Trebor. (1.5%), SowingSeason (1.5%), klap (1.3%), Green+Baron (1.2%), insomniac15 (1.1%)"
Converge,I Can Tell You About Pain,/album/257943/Converge-I-Can-Tell-You-About-Pain/,350,3.965714286,3.900108245,-0.066,3.709792312,3.71 - 4.07,7,18,"Trebor. (2.0%), Green+Baron (1.5%), Hawks (1.5%), Hep+Kat (1.5%), Frippertronics (1.5%)"
"Tyler, the Creator",Flower Boy,/album/256417/Tyler-the-Creator-Flower-Boy/,652,3.934969325,3.83907932,-0.096,3.698710911,3.7 - 3.97,8,33,"SowingSeason (1.5%), Trebor. (1.4%), BigHans (1.1%), greg84 (1.1%), Rowan5215 (1.0%)"
Kauan,Kaiho,/album/261052/Kauan-Kaiho/,153,3.952941176,3.980442086,0.028,3.693373746,3.69 - 4.23,9,21,"Trebor. (5.0%), Crysis (4.0%), Hawks (3.8%), Atari (3.7%), insomniac15 (3.5%)"
Glassjaw,Material Control,/album/268327/Glassjaw-Material-Control/,445,3.954606742,3.851977409,-0.103,3.681694726,3.68 - 4.01,10,19,"Trebor. (1.6%), SowingSeason (1.6%), Willie (1.4%), Green+Baron (1.2%), Hep+Kat (1.2%)"
Manchester Orchestra,A Black Mile to the Surface,/album/254883/Manchester-Orchestra-A-Black-Mile-to-the-Surface/,546,3.989377289,3.831251892,-0.158,3.67716409,3.68 - 3.98,11,15,"Trebor. (1.6%), SowingSeason (1.5%), Willie (1.4%), klap (1.3%), BigHans (1.2%)"
The Ruins Of Beverast,Exuvia,/album/249629/The-Ruins-Of-Beverast-Exuvia/,131,3.946564885,3.973987346,0.027,3.66172212,3.66 - 4.24,12,26,"Trebor. (6.4%), Hawks (4.8%), linguist2011 (4.6%), CaptainDooRight (4.2%), kingdedethefifth (3.6%)"
The Great Old Ones,EOD: A Tale of Dark Legacy,/album/238073/The-Great-Old-Ones-EOD-A-Tale-of-Dark-Legacy/,161,3.951552795,3.943088111,-0.008,3.660756971,3.66 - 4.19,13,24,"Trebor. (4.1%), Hawks (3.1%), linguist2011 (3.1%), Storm+In+A+Teacup (2.8%), Gameofmetal (2.5%)"
King Krule,The OOZ,/album/261982/King-Krule-The-OOZ/,199,3.786432161,3.905720806,0.119,3.650630929,3.65 - 4.13,14,185,"robertsona (3.3%), Rowan5215 (3.0%), DoofusWainwright (2.9%), Arcade (2.8%), butcherboy (2.8%)"
Fen,Winter,/album/245848/Fen-Winter/,197,3.878172589,3.906373367,0.028,3.64997337,3.65 - 4.13,15,82,"Crysis (2.8%), Hawks (2.6%), Atari (2.6%), linguist2011 (2.4%), Spec (2.3%)"
Amenra,Mass VI,/album/261569/Amenra-Mass-VI/,162,3.951851852,3.922325428,-0.03,3.639358997,3.64 - 4.17,16,23,"Willie (4.1%), linguist2011 (3.4%), theacademy (2.8%), Chamberbelain (2.6%), Archelirion (2.6%)"
The Black Dahlia Murder,Nightbringers,/album/258548/The-Black-Dahlia-Murder-Nightbringers/,296,3.881081081,3.819691821,-0.061,3.607702287,3.61 - 4.01,17,79,"Trebor. (3.1%), Willie (2.8%), Hawks (2.4%), linguist2011 (2.4%), Gameofmetal (1.9%)"
Milo,Who Told You To Think??!!?!?!?!,/album/256274/Milo-Who-Told-You-To-Think%E2%80%8B%E2%80%8B%21%E2%80%8B%21%E2%80%8B%E2%80%8B%21%E2%80%8B%E2%80%8B%21%E2%80%8B%E2%80%8B%21/,197,3.898477157,3.860419651,-0.038,3.601005853,3.6 - 4.09,18,60,"Trebor. (3.2%), Green+Baron (2.4%), Frippertronics (2.3%), DoofusWainwright (2.0%), Calc (2.0%)"
Converge,The Dusk in Us,/album/259476/Converge-The-Dusk-in-Us/,630,3.916031746,3.74550665,-0.171,3.599258878,3.6 - 3.88,19,43,"Trebor. (1.4%), SowingSeason (1.3%), Willie (1.2%), Hawks (1.0%), Hep+Kat (1.0%)"
Brockhampton,SATURATION II,/album/256374/Brockhampton-SATURATION-II/,431,3.917865429,3.77351093,-0.144,3.596963876,3.6 - 3.94,20,41,"Trebor. (2.2%), BigHans (1.7%), greg84 (1.6%), Hep+Kat (1.6%), Rowan5215 (1.5%)"
The Smith Street Band,More Scared of You Than You Are of Me,/album/244900/The-Smith-Street-Band-More-Scared-of-You-Than-You-Are-of-Me/,179,3.844134078,3.864313481,0.02,3.591826446,3.59 - 4.11,21,112,"Trebor. (3.9%), Atari (2.9%), BigHans (2.9%), Rowan5215 (2.5%), Arcade (2.3%)"
Mount Eerie,A Crow Looked At Me,/album/243306/Mount-Eerie-A-Crow-Looked-At-Me/,416,3.944951923,3.769354102,-0.176,3.589382146,3.59 - 3.94,22,28,"Trebor. (2.0%), SowingSeason (1.9%), Hawks (1.5%), Green+Baron (1.4%), Ponton (1.3%)"
Vince Staples,Big Fish Theory,/album/252917/Vince-Staples-Big-Fish-Theory/,479,3.79039666,3.75629944,-0.034,3.588406144,3.59 - 3.91,23,180,"Trebor. (1.8%), BigHans (1.4%), Storm+In+A+Teacup (1.2%), Rowan5215 (1.2%), DoofusWainwright (1.1%)"
Artificial Brain,Infrared Horizon,/album/245155/Artificial-Brain-Infrared-Horizon/,234,3.882478632,3.826636575,-0.056,3.587534757,3.59 - 4.04,24,78,"Willie (2.7%), Hawks (2.3%), linguist2011 (2.2%), Xenophanes (2.1%), Jacquibim (1.9%)"
Run the Jewels,Run the Jewels 3,/album/238412/Run-the-Jewels-Run-the-Jewels-3/,826,3.913317191,3.713431535,-0.2,3.585147894,3.59 - 3.84,1,1,"Trebor. (1.3%), klap (1.1%), greg84 (0.9%), Hep+Kat (0.9%), Insurrection (0.9%)"
Perfume Genius,No Shape,/album/247774/Perfume-Genius-No-Shape/,225,3.818222222,3.822428498,0.004,3.57815293,3.58 - 4.04,25,142,"SowingSeason (3.3%), greg84 (2.4%), DoofusWainwright (2.1%), Arcade (2.0%), butcherboy (2.0%)"
Counterparts,You're Not You Anymore,/album/255117/Counterparts-Youre-Not-You-Anymore/,340,3.972352941,3.775410417,-0.197,3.575995125,3.58 - 3.96,26,16,"Trebor. (3.0%), Hawks (2.3%), Hep+Kat (2.2%), Ponton (2.2%), Spec (1.9%)"
Cradle of Filth,Cryptoriana - The Seductiveness of Decay,/album/255164/Cradle-of-Filth-Cryptoriana-%E2%80%93-The-Seductiveness-of-Decay/,123,3.92195122,3.899248286,-0.023,3.57013075,3.57 - 4.18,27,37,"BallsToTheWall (6.9%), Trebor. (5.3%), TheSpirit (4.7%), Willie (4.7%), Hawks (4.1%)"
Ulver,The Assassination of Julius Caesar,/album/245658/Ulver-The-Assassination-of-Julius-Caesar/,476,3.833613445,3.738409342,-0.095,3.569279116,3.57 - 3.9,28,118,"Trebor. (1.6%), SowingSeason (1.5%), Willie (1.4%), Crysis (1.3%), Hawks (1.2%)"
Venenum,Trance of Death,/album/247131/Venenum-Trance-of-Death/,103,3.893203883,3.925254184,0.032,3.565961519,3.57 - 4.23,29,63,"Hawks (4.9%), linguist2011 (4.8%), Jacquibim (4.1%), kingdedethefifth (3.7%), Xenorazr (3.6%)"
Leprous,Malina,/album/253451/Leprous-Malina/,249,3.947791165,3.784382411,-0.163,3.550579011,3.55 - 4,30,25,"Willie (4.3%), linguist2011 (3.6%), DrGonzo1937 (3.5%), Yazz_Flute (3.2%), Thor (2.8%)"
Julien Baker,Turn Out The Lights,/album/259543/Julien-Baker-Turn-Out-The-Lights/,293,3.93105802,3.761219447,-0.17,3.545177885,3.55 - 3.96,31,34,"Trebor. (2.6%), BigHans (1.9%), Ponton (1.7%), DoofusWainwright (1.6%), Calc (1.6%)"
Protomartyr,Relatives In Descent,/album/256721/Protomartyr-Relatives-In-Descent/,133,3.830827068,3.863267829,0.032,3.544734341,3.54 - 4.14,32,129,"Trebor. (5.4%), Willie (4.7%), greg84 (3.8%), DoofusWainwright (3.3%), butcherboy (3.2%)"
Shoji Meguro,Persona 5 Original Soundtrack,/album/249487/Shoji-Meguro-Persona-5-Original-Soundtrack/,15,4.333333333,4.473358619,0.14,3.543519196,3.54 - 4.94,33,1,"JigglyPDiddy (16.2%), GreyShadow (14.6%), Veldin (11.8%), literallyzach (11.2%), SteakByrnes (8.6%)"
Pallbearer,Heartless,/album/241540/Pallbearer-Heartless/,307,3.888599349,3.754697322,-0.134,3.543495282,3.54 - 3.95,34,71,"Willie (2.2%), Atari (2.0%), Hawks (2.0%), insomniac15 (1.8%), linguist2011 (1.8%)"
Fleet Foxes,Crack-Up,/album/246788/Fleet-Foxes-Crack-Up/,443,3.896839729,3.719259226,-0.178,3.543020924,3.54 - 3.88,35,62,"Trebor. (2.0%), SowingSeason (1.9%), klap (1.6%), Atari (1.5%), Frippertronics (1.4%)"
Kendrick Lamar,DAMN.,/album/249612/Kendrick-Lamar-DAMN./,1404,3.782264957,3.638227192,-0.144,3.538660108,3.54 - 3.73,36,196,"Trebor. (0.8%), SowingSeason (0.7%), klap (0.6%), Green+Baron (0.6%), BigHans (0.6%)"
Der Weg Einer Freiheit,Finisterre,/album/255286/Der-Weg-Einer-Freiheit-Finisterre/,126,3.94047619,3.864561062,-0.076,3.536930977,3.54 - 4.15,37,32,"Atari (4.7%), Hawks (4.7%), Green+Baron (4.6%), linguist2011 (4.4%), Gameofmetal (3.6%)"
'68,Two Parts Viper,/album/248612/68-Two-Parts-Viper/,208,3.884615385,3.782477696,-0.102,3.525675938,3.53 - 4.01,38,75,"greg84 (2.8%), Rowan5215 (2.5%), DoofusWainwright (2.4%), Calc (2.3%), Scoot (2.2%)"
Iglooghost,Neo Wax Bloom,/album/259126/Iglooghost-Neo-Wax-Bloom/,162,3.891975309,3.809820111,-0.082,3.519067962,3.52 - 4.07,39,64,"Trebor. (4.2%), klap (3.4%), Ponton (2.8%), DoofusWainwright (2.6%), Calc (2.6%)"
Bell Witch,Mirror Reaper,/album/259034/Bell-Witch-Mirror-Reaper/,176,3.780681818,3.792128791,0.011,3.512595265,3.51 - 4.04,40,199,"Willie (3.2%), Hawks (2.9%), insomniac15 (2.7%), linguist2011 (2.6%), Xenophanes (2.4%)"
City of Caterpillar,Driving Spain Up A Wall,/album/253739/City-of-Caterpillar-Driving-Spain-Up-A-Wall/,79,3.886075949,3.921143891,0.035,3.506945425,3.51 - 4.27,41,73,"Trebor. (6.4%), Hawks (4.8%), Xenophanes (4.3%), Supercoolguy64 (3.9%), kingdedethefifth (3.6%)"
Slowdive,Slowdive,/album/248339/Slowdive-Slowdive/,455,3.800879121,3.679245192,-0.122,3.503914103,3.5 - 3.84,42,165,"Trebor. (1.8%), Willie (1.6%), klap (1.5%), Green+Baron (1.4%), Frippertronics (1.3%)"
The War on Drugs,A Deeper Understanding,/album/254375/The-War-on-Drugs-A-Deeper-Understanding/,346,3.879768786,3.692070691,-0.188,3.490804824,3.49 - 3.88,43,80,"SowingSeason (2.2%), klap (1.9%), BigHans (1.7%), Green+Baron (1.7%), Frippertronics (1.6%)"
Circa Survive,The Amulet,/album/256749/Circa-Survive-The-Amulet/,236,3.828813559,3.732852148,-0.096,3.489745261,3.49 - 3.96,44,132,"SowingSeason (3.3%), Willie (3.0%), Atari (2.7%), Hawks (2.7%), Xenophanes (2.3%)"
Immolation,Atonement,/album/239754/Immolation-Atonement/,242,3.838016529,3.720235126,-0.118,3.479634367,3.48 - 3.94,45,116,"Willie (2.8%), TheSpirit (2.8%), Hawks (2.3%), Xenophanes (2.2%), Jacquibim (2.0%)"
Godflesh,Post Self,/album/263544/Godflesh-Post-Self/,112,3.890178571,3.830687754,-0.059,3.479470689,3.48 - 4.14,46,65,"Willie (4.9%), Hawks (4.2%), linguist2011 (4.1%), DrGonzo1937 (4.0%), greg84 (4.0%)"
Big K.R.I.T.,4eva Is a Mighty Long Time,/album/264243/Big-K.R.I.T.-4eva-Is-a-Mighty-Long-Time/,146,3.889041096,3.783214528,-0.106,3.474464444,3.47 - 4.06,47,66,"Trebor. (4.2%), klap (3.4%), BigHans (3.1%), Hep+Kat (3.0%), greg84 (3.0%)"
Lorde,Melodrama,/album/246366/Lorde-Melodrama/,592,3.78902027,3.627923318,-0.161,3.473077076,3.47 - 3.78,48,182,"SowingSeason (1.3%), Willie (1.2%), klap (1.1%), pizzamachine (1.1%), Atari (1.1%)"
Rina Sawayama,RINA,/album/266518/Rina-Sawayama-RINA/,70,3.757142857,3.907899998,0.151,3.464791554,3.46 - 4.27,49,234,"BallsToTheWall (10.9%), greg84 (6.0%), Frippertronics (6.0%), jtswope (4.5%), Ryus (3.9%)"
Mastodon,Emperor of Sand,/album/243422/Mastodon-Emperor-of-Sand/,928,3.745366379,3.587546752,-0.158,3.463417674,3.46 - 3.71,50,260,"SowingSeason (1.1%), Willie (1.0%), pizzamachine (0.9%), Hawks (0.9%), insomniac15 (0.8%)"
Brutus (BE),Burst,/album/243846/Brutus-BE-Burst/,82,3.847560976,3.872311093,0.025,3.461876559,3.46 - 4.22,51,107,"Storm+In+A+Teacup (8.1%), Papa+Universe (6.7%), Chamberbelain (6.6%), zaruyache (4.6%), Essence (4.2%)"
Arcane Roots,Melancholia Hymns,/album/253640/Arcane-Roots-Melancholia-Hymns/,114,3.857894737,3.80847093,-0.049,3.458870641,3.46 - 4.11,52,97,"Willie (5.7%), DrGonzo1937 (4.8%), Ponton (4.4%), Toondude10 (3.5%), jtswope (3.5%)"
Falls of Rauros,Vigilance Perennial,/album/242664/Falls-of-Rauros-Vigilance-Perennial/,123,3.823577236,3.794641268,-0.029,3.457733038,3.46 - 4.09,53,136,"SowingSeason (4.2%), Crysis (3.6%), Hawks (3.4%), Atari (3.4%), linguist2011 (3.1%)"
Havukruunu,Kelle Surut Soi,/album/250423/Havukruunu-Kelle-Surut-Soi/,76,3.857894737,3.879281586,0.021,3.452577304,3.45 - 4.24,54,96,"Atari (6.8%), Hawks (6.6%), Gameofmetal (5.2%), Archelirion (4.8%), JohnnyOnTheSpot (4.7%)"
Spectral Voice,Eroded Corridors of Unbeing,/album/263178/Spectral-Voice-Eroded-Corridors-of-Unbeing/,124,3.838709677,3.784074367,-0.055,3.447862923,3.45 - 4.08,55,115,"Willie (4.7%), Hawks (4.1%), Xenophanes (3.7%), Jacquibim (3.4%), Gameofmetal (3.2%)"
END (NJ),From the Unforgiving Arms of God,/album/261306/END-NJ-From-the-Unforgiving-Arms-of-God/,119,3.886554622,3.790594219,-0.096,3.447514727,3.45 - 4.09,56,72,"Scoot (4.0%), Thor (4.0%), cvlts (4.0%), Archelirion (3.9%), Confessed2005 (3.8%)"
Phoebe Bridgers,Strangers In The Alps,/album/263136/Phoebe-Bridgers-Stranger-In-The-Alps/,109,3.9,3.80415626,-0.096,3.445907319,3.45 - 4.12,57,51,"BallsToTheWall (6.1%), Trebor. (4.7%), klap (3.8%), Hawks (3.6%), Atari (3.6%)"
Sampha,Process,/album/235312/Sampha-Process/,298,3.795302013,3.658965855,-0.136,3.440187993,3.44 - 3.86,58,175,"SowingSeason (2.6%), Atari (2.1%), BigHans (2.0%), greg84 (1.9%), robertsona (1.9%)"
Oxbow,Thin Black Duke,/album/245816/Oxbow-Thin-Black-Duke/,110,3.811818182,3.796934174,-0.015,3.439873535,3.44 - 4.11,59,151,"greg84 (3.7%), Frippertronics (3.7%), linguist2011 (3.7%), Xenophanes (3.4%), DoofusWainwright (3.2%)"
Akercocke,Renaissance in Extremis,/album/255005/Akercocke-Renaissance-in-Extremis/,112,3.910714286,3.793391764,-0.117,3.439436198,3.44 - 4.1,60,45,"Willie (6.0%), Hawks (5.5%), linguist2011 (5.0%), Papa+Universe (3.9%), Xenorazr (3.8%)"
Ne Obliviscaris,Urn,/album/257980/Ne-Obliviscaris-Urn/,272,3.920588235,3.660078087,-0.261,3.430826405,3.43 - 3.87,61,38,"Willie (3.1%), Hawks (2.7%), linguist2011 (2.6%), Xenophanes (2.4%), Yazz_Flute (2.3%)"
Shadow of Intent,Reclaimer,/album/248640/Shadow-of-Intent-Reclaimer/,152,3.856578947,3.725576936,-0.131,3.419700954,3.42 - 4,62,100,"Willie (5.3%), Hawks (4.7%), Xenophanes (4.1%), Gameofmetal (3.6%), Toondude10 (3.2%)"
Enslaved,E,/album/259030/Enslaved-E/,212,3.919339623,3.676846306,-0.242,3.416988013,3.42 - 3.91,63,40,"Willie (4.1%), Hawks (3.5%), Xenophanes (3.2%), BigPleb (2.8%), Gameofmetal (2.7%)"
Dvne,Asheran,/album/260227/Dvne-Asheran/,22,3.954545455,4.200224975,0.246,3.413479921,3.41 - 4.7,64,20,"Papa+Universe (38.7%), hesperus (20.2%), bgillesp (12.8%), SpiritCrusher2 (9.2%), sam1oq (4.0%)"
Alfa Mist,Antiphon,/album/248729/Alfa-Mist-Antiphon/,66,3.878787879,3.872463854,-0.006,3.411873129,3.41 - 4.25,65,81,"DoofusWainwright (6.5%), Calc (6.5%), jtswope (5.6%), Mort. (4.5%), ComeToDaddy (4.4%)"
Brockhampton,SATURATION,/album/254767/Brockhampton-SATURATION/,458,3.779475983,3.586478365,-0.193,3.408550875,3.41 - 3.75,66,201,"Trebor. (2.0%), BigHans (1.5%), DrGonzo1937 (1.5%), greg84 (1.4%), Hep+Kat (1.4%)"
Cormorant,Diaspora,/album/255027/Cormorant-Diaspora/,91,3.851648352,3.801472036,-0.05,3.407359595,3.41 - 4.14,67,101,"Willie (5.8%), Hawks (5.2%), linguist2011 (4.7%), Xenophanes (4.4%), Gameofmetal (4.0%)"
Caligula's Horse,In Contact,/album/259200/Caligulas-Horse-In-Contact/,137,3.919708029,3.729194771,-0.191,3.406553393,3.41 - 4.02,68,39,"Willie (7.1%), DoofusWainwright (5.1%), Toondude10 (4.3%), ComeToDaddy (3.4%), Anthracks (2.9%)"
Forest Swords,Compassion,/album/248977/Forest-Swords-Compassion/,151,3.768211921,3.712818381,-0.055,3.405138304,3.41 - 3.99,69,221,"Jacquibim (2.7%), DoofusWainwright (2.7%), Calc (2.6%), butcherboy (2.6%), Scoot (2.4%)"
White Ward,Futility Report,/album/248768/White-Ward-Futility-Report/,115,3.871304348,3.754944258,-0.116,3.40319532,3.4 - 4.06,70,91,"Atari (4.7%), Hawks (4.6%), Calc (3.7%), Gameofmetal (3.6%), Papa+Universe (3.3%)"
The Mountain Goats,Goths,/album/245846/The-Mountain-Goats-Goths/,223,3.822869955,3.653791754,-0.169,3.39953269,3.4 - 3.89,71,138,"Atari (3.1%), Hawks (3.0%), DoofusWainwright (2.4%), robin (2.3%), Aids (2.2%)"
Kardashev,The Almanac,/album/267645/Kardashev-The-Almanac/,65,3.784615385,3.857925787,0.073,3.392249249,3.39 - 4.24,72,191,"Sniff (6.5%), ProjectFreak (6.3%), Dewinged (6.3%), hesperus (6.1%), East+Hastings (5.4%)"
Darkest Hour,Godless Prophets and The Migrant Flora,/album/239554/Darkest-Hour-Godless-Prophets-and-The-Migrant-Flora/,245,3.764897959,3.63281876,-0.132,3.389656813,3.39 - 3.86,73,226,"Trebor. (3.0%), TheSpirit (2.6%), Willie (2.6%), Hawks (2.3%), linguist2011 (2.1%)"
Mastodon,Cold Dark Place,/album/259552/Mastodon-Cold-Dark-Place/,317,3.729968454,3.602517355,-0.127,3.388333527,3.39 - 3.8,74,289,"SowingSeason (3.0%), Willie (2.7%), linguist2011 (2.3%), DrGonzo1937 (2.2%), greg84 (2.2%)"
Do Make Say Think,Stubborn Persistent Illusions,/album/246961/Do-Make-Say-Think-Stubborn-Persistent-Illusions/,152,3.781578947,3.694759258,-0.087,3.387090946,3.39 - 3.97,75,198,"klap (3.2%), Xenophanes (2.6%), DoofusWainwright (2.4%), SCREAM%21 (2.4%), robin (2.2%)"
Xanthochroid,Of Erthe and Axen: Act II,/album/265639/Xanthochroid-Of-Erthe-and-Axen-Act-II/,41,3.902439024,3.966075288,0.064,3.382318315,3.38 - 4.41,76,50,"Hawks (16.3%), kingdedethefifth (12.0%), ComeToDaddy (8.6%), ProjectFreak (5.8%), BlackwaterPork (5.7%)"
Broken Social Scene,Hug of Thunder,/album/252422/Broken-Social-Scene-Hug-of-Thunder/,187,3.782352941,3.6589987,-0.123,3.380814314,3.38 - 3.91,77,195,"Trebor. (3.5%), SowingSeason (3.2%), klap (2.7%), Ponton (2.3%), Rowan5215 (2.2%)"
Remo Drive,Greatest Hits,/album/244160/Remo-Drive-Greatest-Hits/,150,3.768,3.690633577,-0.077,3.380607707,3.38 - 3.97,78,222,"Trebor. (5.6%), Conmaniac (3.2%), Papa+Universe (3.1%), jtswope (3.0%), Blindsided (2.9%)"
IDLES,Brutalism,/album/246919/IDLES-Brutalism/,149,3.761744966,3.690752933,-0.071,3.379656031,3.38 - 3.97,79,228,"Frippertronics (3.1%), greg84 (3.1%), butcherboy (2.6%), Scoot (2.6%), Conmaniac (2.5%)"
The Wonder Years,Burst and Decay,/album/261936/The-Wonder-Years-Burst-and-Decay/,54,3.87037037,3.887775769,0.017,3.376709492,3.38 - 4.3,80,92,"Gameofmetal (10.9%), ianblxdsoe (7.0%), Feather (5.3%), ProjectFreak (5.2%), larrytheslug (5.0%)"
King Gizzard and the Lizard Wizard,Polygondwanaland,/album/268271/King-Gizzard-and-The-Lizard-Wizard-Polygondwanaland/,203,3.822660099,3.640833507,-0.182,3.373318083,3.37 - 3.89,81,139,"insomniac15 (3.5%), DoofusWainwright (2.9%), AtomicWaste (2.7%), kingdedethefifth (2.6%), Conmaniac (2.6%)"
Moses Sumney,Aromanticism,/album/256720/Moses-Sumney-Aromanticism/,60,3.875,3.859089222,-0.016,3.373281668,3.37 - 4.26,82,83,"greg84 (7.8%), Papa+Universe (6.2%), Jasdevi087 (5.9%), jtswope (5.7%), verdant (4.7%)"
Spoon,Hot Thoughts,/album/242755/Spoon-Hot-Thoughts/,202,3.768811881,3.632568629,-0.136,3.363976384,3.36 - 3.88,83,219,"SowingSeason (3.8%), klap (3.2%), DoofusWainwright (2.4%), butcherboy (2.4%), Arcade (2.3%)"
Mutoid Man,War Moans,/album/249153/Mutoid-Man-War-Moans/,134,3.792537313,3.691932758,-0.101,3.363288103,3.36 - 3.99,84,177,"Willie (4.5%), insomniac15 (3.8%), linguist2011 (3.7%), greg84 (3.6%), Spec (3.3%)"
Employed to Serve,The Warmth Of A Dying Sun,/album/246682/Employed-to-Serve-The-Warmth-Of-A-Dying-Sun/,63,3.841269841,3.833045532,-0.008,3.357342313,3.36 - 4.23,85,113,"Hawks (9.5%), linguist2011 (9.1%), Chamberbelain (6.9%), jtswope (6.6%), Sinternet (4.7%)"
Ayreon,The Source,/album/243375/Ayreon-The-Source/,95,3.812631579,3.744307067,-0.068,3.354822256,3.35 - 4.08,86,148,"linguist2011 (6.5%), Divaman (5.4%), AtomicWaste (5.3%), Toondude10 (5.1%), Xenorazr (5.0%)"
Benjamin Clementine,I Tell A Fly,/album/256267/Benjamin-Clementine-I-Tell-A-Fly/,54,3.87037037,3.862281485,-0.008,3.348764429,3.35 - 4.28,87,92,"Green+Baron (6.1%), Rowan5215 (5.4%), DoofusWainwright (5.2%), butcherboy (5.0%), AtomicWaste (4.7%)"
Make Them Suffer,Worlds Apart,/album/255224/Make-Them-Suffer-Worlds-Apart/,155,3.810322581,3.652589082,-0.158,3.345703442,3.35 - 3.93,88,152,"Willie (5.3%), linguist2011 (4.3%), Gameofmetal (3.6%), kingdedethefifth (3.5%), Blindsided (3.1%)"
August Burns Red,Phantom Anthem,/album/258068/August-Burns-Red-Phantom-Anthem/,324,3.82654321,3.558752554,-0.268,3.345334513,3.35 - 3.76,89,134,"Trebor. (3.2%), Willie (2.9%), linguist2011 (2.4%), Ponton (2.3%), Gameofmetal (1.9%)"
Motorpsycho,The Tower,/album/261074/Motorpsycho-The-Tower/,58,3.898275862,3.840624796,-0.058,3.344286181,3.34 - 4.25,90,61,"insomniac15 (9.1%), menawati (7.8%), DoofusWainwright (7.5%), Yazz_Flute (7.4%), Papa+Universe (6.5%)"
Heretoir,The Circle,/album/247504/Heretoir-The-Circle/,85,3.823529412,3.756006808,-0.068,3.344024792,3.34 - 4.11,91,137,"TheSpirit (7.1%), Hawks (6.1%), Gameofmetal (4.7%), TalonsOfFire (4.4%), Archelirion (4.4%)"
Brockhampton,SATURATION III,/album/265657/Brockhampton-SATURATION-III/,221,3.88280543,3.599854659,-0.283,3.341952843,3.34 - 3.84,92,77,"Trebor. (3.6%), BigHans (2.7%), Hep+Kat (2.5%), greg84 (2.5%), Frippertronics (2.5%)"
Rapsody,Laila's Wisdom,/album/262273/Rapsody-Lailas-Wisdom/,47,3.829787234,3.890413808,0.061,3.340240762,3.34 - 4.33,93,130,"greg84 (13.0%), jtswope (9.8%), Relinquished (6.0%), rufinthefury (5.9%), JigglyPDiddy (4.9%)"
Everything Everything,A Fever Dream,/album/254963/Everything-Everything-A-Fever-Dream/,150,3.686666667,3.651956812,-0.035,3.3397849,3.34 - 3.93,94,374,"klap (3.8%), greg84 (3.3%), Calc (2.9%), DoofusWainwright (2.9%), Papa+Universe (2.6%)"
Tom Rogerson with Brian Eno,Finding Shore,/album/268871/Tom-Rogerson-with-Brian-Eno-Finding-Shore/,28,3.946428571,4.04764034,0.101,3.339773223,3.34 - 4.55,95,27,"Frippertronics (14.4%), DoofusWainwright (12.5%), TalonsOfFire (11.3%), AsleepInTheBack (6.3%), Dewinged (6.1%)"
Roger Waters,Is This The Life We Really Want?,/album/250788/Roger-Waters-Is-This-The-Life-We-Really-Want/,151,3.643708609,3.644548523,0.001,3.333050771,3.33 - 3.93,96,459,"SowingSeason (5.1%), DrGonzo1937 (3.8%), Rowan5215 (3.6%), Papa+Universe (3.1%), Irving (3.0%)"
Slow (BE),V - Oceans,/album/257288/Slow-BE-V---Oceans/,43,3.941860465,3.906656922,-0.035,3.331327761,3.33 - 4.36,97,31,"BallsToTheWall (19.2%), Hawks (11.1%), Wizard (8.2%), Xenorazr (7.7%), DarkNoctus (6.2%)"
Blanck Mass,World Eater,/album/242177/Blanck-Mass-World-Eater/,163,3.720245399,3.628846485,-0.091,3.328618308,3.33 - 3.9,98,307,"DrGonzo1937 (3.1%), Storm+In+A+Teacup (2.8%), Metalstyles (2.6%), DoofusWainwright (2.6%), Calc (2.6%)"
